Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LogSalePrice
11,20,RL,70.0,11200.0,Pave,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,No,0.0,3,3,CBlock,3,3,1,3,906.0,1,0,134.0,1040,GasA,5,1,SBrkr,1040.0,0,0,1040.0,1.0,0,1,0,3.0,1,3,5,8,0.0,0,Detchd,1965.0,1,1.0,384.0,3,3,2,0,0,0,0,0,0,0,2,2008,WD,Normal,129500,11.771436160121729
12,60,RL,85.0,11924.0,Pave,3,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998.0,1,0,177.0,1175,GasA,5,1,SBrkr,1182.0,1142,0,2324.0,1.0,0,3,0,4.0,1,5,10,8,2.0,4,BuiltIn,2005.0,3,3.0,736.0,3,3,2,147,21,0,0,0,0,0,7,2006,New,Partial,345000,12.751299696013497
13,20,RL,71.0,12968.0,Pave,2,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,No,0.0,3,3,CBlock,3,3,1,5,737.0,1,0,175.0,912,GasA,3,1,SBrkr,912.0,0,0,912.0,1.0,0,1,0,2.0,1,3,4,8,0.0,0,Detchd,1962.0,1,1.0,352.0,3,3,2,140,0,0,0,0,0,0,9,2008,WD,Normal,144000,11.877568578558138
14,20,RL,91.0,10652.0,Pave,3,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0.0,1,0,1494.0,1494,GasA,5,1,SBrkr,1494.0,0,0,1494.0,0.0,0,2,0,3.0,1,4,7,8,1.0,4,Attchd,2006.0,2,3.0,840.0,3,3,2,160,33,0,0,0,0,0,8,2007,New,Partial,279500,12.540757571577291
15,20,RL,73.0,10920.0,Pave,3,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733.0,1,0,520.0,1253,GasA,3,1,SBrkr,1253.0,0,0,1253.0,1.0,0,1,1,2.0,1,3,5,8,1.0,2,Attchd,1960.0,2,1.0,352.0,3,3,2,0,170,0,0,0,0,0,5,2008,WD,Normal,157000,11.964001084330445
16,45,RM,51.0,6120.0,Pave,4,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0,832.0,832,GasA,5,1,FuseA,854.0,0,0,854.0,0.0,0,1,0,2.0,1,3,5,8,0.0,0,Detchd,1991.0,1,2.0,576.0,3,3,2,48,112,0,0,0,0,0,7,2007,WD,Normal,132000,11.790557201568507
17,20,RL,73.0,11241.0,Pave,3,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0,426.0,1004,GasA,5,1,SBrkr,1004.0,0,0,1004.0,1.0,0,1,0,2.0,1,3,5,8,1.0,3,Attchd,1970.0,3,2.0,480.0,3,3,2,0,0,0,0,0,0,0,3,2010,WD,Normal,149000,11.911701584927597
18,90,RL,72.0,10791.0,Pave,4,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,No,0.0,3,3,Slab,0,0,0,0,0.0,0,0,0.0,43,GasA,3,1,SBrkr,1296.0,0,0,1296.0,0.0,0,2,0,2.0,1,3,6,8,0.0,0,CarPort,1967.0,1,2.0,516.0,3,3,2,0,0,0,0,0,0,0,10,2006,WD,Normal,90000,11.407564949312402
19,20,RL,66.0,13695.0,Pave,4,4,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,No,0.0,3,3,PConc,3,3,1,6,646.0,1,0,468.0,1114,GasA,5,1,SBrkr,1114.0,0,0,1114.0,1.0,0,1,1,3.0,1,4,6,8,0.0,0,Detchd,2004.0,1,2.0,576.0,3,3,2,0,102,0,0,0,0,0,6,2008,WD,Normal,159000,11.976659481202368
20,20,RL,70.0,7560.0,Pave,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,No,0.0,3,3,CBlock,3,3,1,2,504.0,1,0,525.0,1029,GasA,3,1,SBrkr,1339.0,0,0,1339.0,0.0,0,1,0,3.0,1,3,6,7,0.0,0,Attchd,1958.0,1,1.0,294.0,3,3,2,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,11.842229212112828
21,60,RL,101.0,14215.0,Pave,3,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0.0,1,0,1158.0,1158,GasA,5,1,SBrkr,1158.0,1218,0,2376.0,0.0,0,3,1,4.0,1,4,9,8,1.0,4,BuiltIn,2005.0,2,3.0,853.0,3,3,2,240,154,0,0,0,0,0,11,2006,New,Partial,325300,12.692503112461443
22,45,RM,57.0,7449.0,Pave,4,3,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,3,3,PConc,3,3,1,1,0.0,1,0,637.0,637,GasA,5,1,FuseF,1108.0,0,0,1108.0,0.0,0,1,0,3.0,1,4,6,8,1.0,4,Attchd,1930.0,1,1.0,280.0,3,3,0,0,0,0,0,0,0,0,6,2007,WD,Normal,139400,11.845102777308561
23,20,RL,75.0,9742.0,Pave,4,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0.0,1,0,1685.5,1777,GasA,5,1,SBrkr,1795.0,0,0,1795.0,0.0,0,2,0,3.0,1,4,7,8,1.0,4,Attchd,2002.0,2,2.0,534.0,3,3,2,171,159,0,0,0,0,0,9,2008,WD,Normal,230000,12.345834587905333
24,120,RM,44.0,4224.0,Pave,4,4,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,No,0.0,3,3,PConc,4,3,1,6,840.0,1,0,200.0,1040,GasA,3,1,SBrkr,1060.0,0,0,1060.0,1.0,0,1,0,3.0,1,3,6,8,1.0,3,Attchd,1976.0,1,2.0,572.0,3,3,2,100,110,0,0,0,0,0,6,2007,WD,Normal,129900,11.77452020265869
25,20,RL,71.0,8246.0,Pave,3,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,No,0.0,3,4,CBlock,3,3,2,3,188.0,5,0,204.0,1060,GasA,5,1,SBrkr,1060.0,0,0,1060.0,1.0,0,1,0,3.0,1,4,6,8,1.0,3,Attchd,1968.0,1,1.0,270.0,3,3,2,406,90,0,0,0,0,0,5,2010,WD,Normal,154000,11.944707881395766
26,20,RL,110.0,14230.0,Pave,4,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,409.375,4,3,PConc,4,3,1,1,0.0,1,0,1566.0,1566,GasA,5,1,SBrkr,1600.0,0,0,1600.0,0.0,0,2,0,3.0,1,4,7,8,1.0,4,Attchd,2007.0,2,3.0,890.0,3,3,2,0,56,0,0,0,0,0,7,2009,WD,Normal,256300,12.454103912352162
27,20,RL,60.0,7200.0,Pave,4,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,3,3,CBlock,3,3,2,4,234.0,3,0,180.0,900,GasA,3,1,SBrkr,900.0,0,0,900.0,0.0,0,1,0,3.0,1,4,5,8,0.0,0,Detchd,2005.0,1,2.0,576.0,3,3,2,222,32,0,0,0,0,0,5,2010,WD,Normal,134800,11.811547477460344
28,20,RL,98.0,11478.0,Pave,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0,486.0,1704,GasA,5,1,SBrkr,1704.0,0,0,1704.0,1.0,0,2,0,3.0,1,4,7,8,1.0,4,Attchd,2008.0,2,3.0,772.0,3,3,2,0,50,0,0,0,0,0,5,2010,WD,Normal,306000,12.631340380934517
29,20,RL,47.0,16321.0,Pave,3,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,No,0.0,3,3,CBlock,3,3,4,4,1277.0,1,0,207.0,1484,GasA,3,1,SBrkr,1600.0,0,0,1600.0,1.0,0,1,0,2.0,1,3,6,8,2.0,4,Attchd,1957.0,2,1.0,319.0,3,3,2,288,170,0,0,0,0,0,12,2006,WD,Normal,207500,12.24288661865289
30,30,RM,60.0,6324.0,Pave,3,4,4,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,No,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0,520.0,520,GasA,2,0,SBrkr,520.0,0,0,520.0,0.0,0,1,0,1.0,1,2,4,8,0.0,0,Detchd,1920.0,1,1.0,240.0,2,3,2,49,0,0,0,0,0,0,5,2008,WD,Normal,68500,11.134589024250317
31,70,C (all),50.0,8500.0,Pave,4,4,4,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,No,0.0,3,2,BrkTil,3,3,1,1,0.0,1,0,649.0,649,GasA,3,0,SBrkr,649.0,668,0,1317.0,0.0,0,1,0,3.0,1,3,6,8,0.0,0,Detchd,1920.0,1,1.0,250.0,3,2,0,0,54,0,0,0,0,0,7,2008,WD,Normal,40000,10.596634733096073
32,20,RL,71.0,8544.0,Pave,3,4,4,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,No,0.0,3,3,CBlock,3,3,1,1,0.0,1,0,1228.0,1228,GasA,4,1,SBrkr,1228.0,0,0,1228.0,0.0,0,1,1,3.0,1,4,6,8,0.0,0,Attchd,1966.0,1,1.0,271.0,3,3,2,0,65,0,0,0,0,0,6,2008,WD,Normal,149350,11.914047823644255
33,20,RL,85.0,11049.0,Pave,4,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,No,0.0,4,3,PConc,5,3,3,1,0.0,1,0,1234.0,1234,GasA,5,1,SBrkr,1234.0,0,0,1234.0,0.0,0,2,0,3.0,1,4,7,8,0.0,0,Attchd,2007.0,2,2.0,484.0,3,3,2,0,30,0,0,0,0,0,1,2008,WD,Normal,179900,12.100156419938624
34,20,RL,70.0,10552.0,Pave,3,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,No,0.0,3,3,CBlock,3,3,1,3,1018.0,1,0,380.0,1398,GasA,4,1,SBrkr,1700.0,0,0,1700.0,0.0,0,1,1,4.0,1,4,6,8,1.0,4,Attchd,1959.0,2,2.0,447.0,3,3,2,0,38,0,0,0,0,0,4,2010,WD,Normal,165500,12.016726473799254
35,120,RL,60.0,7313.0,Pave,4,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153.0,1,0,408.0,1561,GasA,5,1,SBrkr,1561.0,0,0,1561.0,1.0,0,2,0,2.0,1,5,6,8,1.0,4,Attchd,2005.0,3,2.0,556.0,3,3,2,203,47,0,0,0,0,0,8,2007,WD,Normal,277500,12.533576212168626
36,60,RL,108.0,13418.0,Pave,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0.0,1,0,1117.0,1117,GasA,5,1,SBrkr,1132.0,1320,0,2452.0,0.0,0,3,1,4.0,1,4,9,8,1.0,4,BuiltIn,2004.0,3,3.0,691.0,3,3,2,113,32,0,0,0,0,0,9,2006,WD,Normal,309000,12.641096555879882
37,20,RL,110.0,10859.0,Pave,4,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,No,0.0,3,3,PConc,4,3,1,1,0.0,1,0,1097.0,1097,GasA,5,1,SBrkr,1097.0,0,0,1097.0,0.0,0,1,1,3.0,1,3,6,8,0.0,0,Attchd,1995.0,1,2.0,672.0,3,3,2,392,64,0,0,0,0,0,6,2009,WD,Normal,145000,11.884489021402711
38,20,RL,74.0,8532.0,Pave,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,409.375,3,3,CBlock,3,3,1,3,1213.0,1,0,84.0,1297,GasA,4,1,SBrkr,1297.0,0,0,1297.0,0.0,0,1,0,3.0,1,3,5,8,1.0,3,Attchd,1954.0,3,2.0,498.0,3,3,2,0,0,0,0,0,0,0,10,2009,WD,Normal,153000,11.938193200374572
39,20,RL,68.0,7922.0,Pave,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,No,0.0,3,4,CBlock,3,3,1,6,731.0,1,0,326.0,1057,GasA,3,1,SBrkr,1057.0,0,0,1057.0,1.0,0,1,0,3.0,1,4,5,8,0.0,0,Detchd,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000,11.59910316121128
40,90,RL,65.0,6040.0,Pave,4,4,4,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,No,0.0,3,3,PConc,0,0,0,0,0.0,0,0,0.0,43,GasA,3,0,FuseP,1152.0,0,0,1152.0,0.0,0,2,0,2.0,1,2,6,8,0.0,0,No,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000,11.314474526246391
41,20,RL,84.0,8658.0,Pave,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643.0,1,0,445.0,1088,GasA,5,1,SBrkr,1324.0,0,0,1324.0,0.0,0,2,0,3.0,1,3,6,8,1.0,3,Attchd,1965.0,2,2.0,440.0,3,3,2,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000,11.982929094215963
42,20,RL,110.0,16905.0,Pave,4,4,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,No,0.0,3,4,CBlock,3,3,4,4,967.0,1,0,383.0,1350,GasA,4,1,SBrkr,1328.0,0,0,1328.0,0.0,0,1,1,2.0,1,3,5,8,2.0,4,Attchd,1959.0,2,1.0,308.0,3,3,1,0,104,0,0,0,0,0,7,2007,WD,Normal,170000,12.043553716032399
43,85,RL,66.5,9180.0,Pave,3,4,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,No,0.0,3,3,CBlock,4,3,3,5,747.0,2,0,0.0,840,GasA,4,1,SBrkr,884.0,0,0,884.0,1.0,0,1,0,2.0,1,4,5,8,0.0,0,Attchd,1983.0,2,2.0,504.0,3,4,2,240,0,0,0,0,0,0,12,2007,WD,Normal,144000,11.877568578558138
44,20,RL,70.0,9200.0,Pave,3,4,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,No,0.0,3,3,CBlock,4,3,3,2,280.0,4,0,167.0,938,GasA,3,1,SBrkr,938.0,0,0,938.0,1.0,0,1,0,3.0,1,3,5,8,0.0,0,Detchd,1977.0,1,1.0,308.0,3,3,2,145,0,0,0,0,0,0,7,2008,WD,Normal,130250,11.777210959615614
45,20,RL,70.0,7945.0,Pave,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,No,0.0,3,3,CBlock,3,3,1,5,179.0,4,0,465.0,1150,GasA,5,1,FuseA,1150.0,0,0,1150.0,1.0,0,1,0,3.0,1,3,6,8,0.0,0,Attchd,1959.0,2,1.0,300.0,3,3,2,0,0,0,0,0,0,0,5,2006,WD,Normal,141000,11.856515169360305
46,120,RL,61.0,7658.0,Pave,4,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,409.375,5,3,PConc,5,3,1,6,456.0,1,0,1296.0,1752,GasA,5,1,SBrkr,1752.0,0,0,1752.0,1.0,0,2,0,2.0,1,5,6,8,1.0,4,Attchd,2005.0,2,2.0,576.0,3,3,2,196,82,0,0,0,0,0,2,2010,WD,Normal,319900,12.675763725937609
47,50,RL,48.0,12822.0,Pave,3,4,4,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,No,0.0,4,3,PConc,5,3,1,6,1351.0,1,0,83.0,1434,GasA,5,1,SBrkr,1518.0,631,0,2149.0,1.0,0,1,1,1.0,1,4,6,8,1.0,5,Attchd,2003.0,2,2.0,670.0,3,3,2,168,43,0,0,0,0,0,8,2009,WD,Abnorml,239686,12.387085012375499
48,20,FV,84.0,11096.0,Pave,4,4,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,No,0.0,4,3,PConc,4,3,3,6,24.0,1,0,1632.0,1656,GasA,5,1,SBrkr,1656.0,0,0,1656.0,0.0,0,2,0,3.0,1,4,7,8,0.0,0,Attchd,2006.0,2,3.0,826.0,3,3,2,0,146,0,0,0,0,0,7,2007,WD,Normal,249700,12.428015476267865
49,145,RM,33.0,4456.0,Pave,4,4,4,Inside,3,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,No,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0,736.0,736,GasA,4,1,SBrkr,736.0,716,0,1452.0,0.0,0,2,0,2.0,1,3,8,8,0.0,0,No,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,2009,New,Partial,113000,11.635143097694478
50,20,RL,66.0,7742.0,Pave,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,No,0.0,3,3,CBlock,3,3,1,4,763.0,1,0,192.0,955,GasA,5,1,SBrkr,955.0,0,0,955.0,1.0,0,1,0,3.0,1,3,6,8,0.0,0,Attchd,1966.0,1,1.0,386.0,3,3,2,0,0,0,0,0,0,0,1,2007,WD,Normal,127000,11.751942365440728
51,60,RL,65.0,13869.0,Pave,2,4,4,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,No,0.0,3,3,PConc,4,3,3,6,182.0,1,0,612.0,794,GasA,4,1,SBrkr,794.0,676,0,1470.0,0.0,0,2,0,3.0,1,3,6,8,0.0,0,Attchd,1997.0,3,2.0,388.0,3,3,2,0,75,0,0,0,0,0,7,2007,WD,Normal,177000,12.083905011555967
52,50,RM,52.0,6240.0,Pave,4,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,3,3,PConc,3,3,1,1,0.0,1,0,816.0,816,GasA,3,1,SBrkr,816.0,0,0,1176.0,0.0,0,1,0,3.0,1,3,6,8,1.0,4,Detchd,1985.0,1,2.0,528.0,3,3,2,112,0,0,0,0,0,0,9,2006,WD,Normal,114500,11.648330101976432
